"Date","Close"
2015-01-02,107.453498840332
2015-01-05,104.332954406738
2015-01-06,103.142234802246
2015-01-07,103.224327087402
2015-01-08,106.468063354492
2015-01-09,104.866722106934
2015-01-12,108.356811523438
2015-01-13,109.178009033203
2015-01-14,108.972724914551
2015-01-15,110.902526855469
2015-01-16,110.204521179199
2015-01-19,110.204521179199
2015-01-20,112.09326171875
2015-01-21,112.832328796387
2015-01-22,113.20189666748
2015-01-23,116.486679077148
2015-01-26,118.786018371582
2015-01-27,119.155548095703
2015-01-28,119.237670898438
2015-01-29,118.827049255371
2015-01-30,117.841613769531
2015-02-02,117.677398681641
2015-02-03,118.662826538086
2015-02-04,128.311874389648
2015-02-05,126.053573608398
2015-02-06,125.478736877441
2015-02-09,123.672134399414
2015-02-10,128.229721069336
2015-02-11,128.558242797852
2015-02-12,130.693359375
2015-02-13,130.159515380859
2015-02-16,128.886734008789
2015-02-17,129.420501708984
2015-02-18,130.364883422852
2015-02-19,132.04833984375
2015-02-20,132.212554931641
2015-02-23,132.417877197266
2015-02-24,132.376815795898
2015-02-25,132.705322265625
2015-02-26,132.992691040039
2015-02-27,134.594039916992
2015-03-02,135.292053222656
2015-03-03,133.362243652344
2015-03-04,135.579467773438
2015-03-05,137.714614868164
2015-03-06,138.70002746582
2015-03-09,137.796691894531
2015-03-10,136.523834228516
2015-03-11,140.835144042969
2015-03-12,140.096038818359
2015-03-13,140.629806518555
2015-03-16,143.462951660156
2015-03-17,141.820556640625
2015-03-18,140.219223022461
2015-03-19,138.207275390625
2015-03-20,138.987442016602
2015-03-23,135.08674621582
2015-03-24,136.688064575195
2015-03-25,134.347702026367
2015-03-26,133.321166992188
2015-03-27,133.239074707031
2015-03-30,135.08674621582
2015-03-31,134.799331665039
2015-04-01,134.101333618164
2015-04-02,134.306625366211
2015-04-07,135.949005126953
2015-04-08,137.550369262695
2015-04-09,140.260284423828
2015-04-10,141.574203491211
2015-04-13,141.697357177734
2015-04-14,138.166229248047
2015-04-15,140.588745117188
2015-04-16,138.823181152344
2015-04-17,135.866882324219
2015-04-20,135.497360229492
2015-04-21,136.369903564453
2015-04-22,133.66911315918
2015-04-23,132.38102722168
2015-04-24,133.835296630859
2015-04-27,135.164886474609
2015-04-28,132.007095336914
2015-04-29,129.430908203125
2015-04-30,130.137252807617
2015-05-04,132.547225952148
2015-05-05,128.51676940918
2015-05-06,128.184387207031
2015-05-07,129.555572509766
2015-05-08,133.627548217773
2015-05-11,131.591522216797
2015-05-12,129.555572509766
2015-05-13,128.309036254883
2015-05-14,132.007095336914
2015-05-15,131.92399597168
2015-05-18,133.087387084961
2015-05-19,137.907302856445
2015-05-20,137.948822021484
2015-05-21,137.616439819336
2015-05-22,138.281280517578
2015-05-25,137.865737915039
2015-05-26,137.117828369141
2015-05-27,139.486236572266
2015-05-28,138.405899047852
2015-05-29,134.749389648438
2015-06-01,135.622009277344
2015-06-02,137.200897216797
2015-06-03,137.574905395508
2015-06-04,135.82975769043
2015-06-05,133.212051391602
2015-06-08,133.170516967773
2015-06-09,128.932312011719
2015-06-10,134.250778198242
2015-06-11,137.533325195312
2015-06-12,134.915634155273
2015-06-15,132.838073730469
2015-06-16,133.212051391602
2015-06-17,132.297943115234
2015-06-18,132.879623413086
2015-06-19,132.921203613281
2015-06-22,139.610885620117
2015-06-23,141.56379699707
2015-06-24,141.979309082031
2015-06-25,142.020812988281
2015-06-26,142.270126342773
2015-06-29,135.954391479492
2015-06-30,130.594299316406
2015-07-01,134.333923339844
2015-07-02,132.048629760742
2015-07-03,131.009826660156
2015-07-06,127.353355407715
2015-07-07,122.94898223877
2015-07-08,124.112419128418
2015-07-09,127.478004455566
2015-07-10,131.92399597168
2015-07-13,134.624786376953
2015-07-14,135.206481933594
2015-07-15,134.209289550781
2015-07-16,134.874084472656
2015-07-17,138.738265991211
2015-07-20,140.566528320312
2015-07-21,139.901748657227
2015-07-22,139.195358276367
