"Date","Close"
2015-01-02,267.117004394531
2015-01-05,258.514739990234
2015-01-06,250.447204589844
2015-01-07,256.152404785156
2015-01-08,257.489593505859
2015-01-09,252.096374511719
2015-01-12,254.057632446289
2015-01-13,258.291870117188
2015-01-14,254.191223144531
2015-01-15,254.770690917969
2015-01-16,252.854125976562
2015-01-19,255.884887695312
2015-01-20,254.102096557617
2015-01-21,252.230194091797
2015-01-22,251.338745117188
2015-01-23,260.966125488281
2015-01-26,264.93310546875
2015-01-27,265.42333984375
2015-01-28,265.28955078125
2015-01-29,266.403839111328
2015-01-30,267.830169677734
2015-02-02,260.654174804688
2015-02-03,256.999237060547
2015-02-04,264.843902587891
2015-02-05,265.200408935547
2015-02-06,261.501007080078
2015-02-09,256.509002685547
2015-02-10,261.545562744141
2015-02-11,262.303283691406
2015-02-12,260.966125488281
2015-02-13,262.303283691406
2015-02-16,258.603881835938
2015-02-17,256.419891357422
2015-02-18,258.871307373047
2015-02-19,257.890686035156
2015-02-20,255.261001586914
2015-02-23,254.191223144531
2015-02-24,252.675842285156
2015-02-25,253.567276000977
2015-02-26,252.453033447266
2015-02-27,257.043853759766
2015-03-02,256.241516113281
2015-03-03,258.033721923828
2015-03-04,261.752655029297
2015-03-05,264.396209716797
2015-03-06,266.188415527344
2015-03-09,264.44091796875
2015-03-10,259.915618896484
2015-03-11,266.770874023438
2015-03-12,268.787078857422
2015-03-13,269.324737548828
2015-03-16,281.1533203125
2015-03-17,280.660461425781
2015-03-18,279.853881835938
2015-03-19,279.45068359375
2015-03-20,279.943542480469
2015-03-23,275.104644775391
2015-03-24,278.868316650391
2015-03-25,279.764282226562
2015-03-26,279.674743652344
2015-03-27,283.617645263672
2015-03-30,282.139129638672
2015-03-31,294.281280517578
2015-04-01,297.014434814453
2015-04-02,299.075439453125
2015-04-07,302.391082763672
2015-04-08,305.527435302734
2015-04-09,306.737182617188
2015-04-10,309.470367431641
2015-04-13,306.020263671875
2015-04-14,304.407348632812
2015-04-15,303.466430664062
2015-04-16,304.003967285156
2015-04-17,300.285217285156
2015-04-20,304.765777587891
2015-04-21,309.291076660156
2015-04-22,303.735198974609
2015-04-23,302.659881591797
2015-04-24,303.152770996094
2015-04-27,302.570281982422
2015-04-28,301.046936035156
2015-04-29,304.362426757812
2015-04-30,302.032623291016
2015-05-04,310.411163330078
2015-05-05,300.374877929688
2015-05-06,296.611145019531
2015-05-07,297.462432861328
2015-05-08,302.391082763672
2015-05-11,302.077453613281
2015-05-12,296.790466308594
2015-05-13,298.493011474609
2015-05-14,303.645568847656
